route_id,route_code,route_name,warehouse_id,planned_stops,planned_km,vehicle_type,is_reefer,cost_per_km,shift,service_frequency,active_from,active_to,status,region_id
27,RT0027,Route 27,8,18,127.5,EICHER_14FT,0,36.19,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
28,RT0028,Route 28,5,13,70.3,TATA_ACE,0,25.76,MORNING,DAILY,2024-04-01,,ACTIVE,3
29,RT0029,Route 29,8,31,189.5,TATA_ACE,0,34.82,MORNING,DAILY,2024-04-01,,ACTIVE,5
30,RT0030,Route 30,2,31,93.8,EICHER_14FT,0,44.66,MORNING,DAILY,2024-04-01,,ACTIVE,1
31,RT0031,Route 31,4,14,197.8,TATA_ACE,0,30.19,EVENING,WEEKLY,2024-04-01,,ACTIVE,2
32,RT0032,Route 32,5,24,100.1,TATA_ACE,0,43.7,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
33,RT0033,Route 33,1,25,186.6,EICHER_14FT,0,24.84,MORNING,DAILY,2024-04-01,,ACTIVE,1
34,RT0034,Route 34,1,23,61.6,TATA_ACE,0,24.07,MORNING,DAILY,2024-04-01,,ACTIVE,1
35,RT0035,Route 35,8,19,150.8,EICHER_14FT,0,33.59,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
36,RT0036,Route 36,3,11,139.0,REEFER_17FT,1,31.48,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
37,RT0037,Route 37,8,8,142.1,EICHER_14FT,0,34.64,EVENING,DAILY,2024-04-01,,ACTIVE,5
38,RT0038,Route 38,2,27,189.2,TEMPO_407,0,33.84,MORNING,DAILY,2024-04-01,,ACTIVE,1
39,RT0039,Route 39,8,20,88.9,REEFER_17FT,1,42.26,MORNING,DAILY,2024-04-01,,ACTIVE,5
40,RT0040,Route 40,2,18,76.9,TATA_ACE,0,36.92,EVENING,DAILY,2024-04-01,,ACTIVE,1
41,RT0041,Route 41,5,33,118.1,TEMPO_407,0,18.98,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
42,RT0042,Route 42,8,32,62.1,EICHER_14FT,0,24.59,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
43,RT0043,Route 43,1,8,184.1,TATA_ACE,0,21.99,MORNING,DAILY,2024-04-01,,ACTIVE,1
44,RT0044,Route 44,7,22,68.8,REEFER_17FT,1,36.23,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
45,RT0045,Route 45,3,20,135.7,EICHER_14FT,0,33.41,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
46,RT0046,Route 46,3,22,115.0,EICHER_14FT,0,32.38,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
47,RT0047,Route 47,6,15,145.6,TEMPO_407,0,23.74,MORNING,DAILY,2024-04-01,,ACTIVE,4
48,RT0048,Route 48,7,9,145.1,EICHER_14FT,0,44.13,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
49,RT0049,Route 49,2,21,78.9,TEMPO_407,0,28.11,MORNING,DAILY,2024-04-01,,ACTIVE,1
50,RT0050,Route 50,6,25,51.8,REEFER_17FT,1,30.6,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
51,RT0051,Route 51,2,10,135.0,EICHER_14FT,0,21.33,MORNING,DAILY,2024-04-01,,ACTIVE,1
52,RT0052,Route 52,4,30,200.7,REEFER_17FT,1,43.93,MORNING,DAILY,2024-04-01,,ACTIVE,2
53,RT0053,Route 53,6,33,205.0,EICHER_14FT,0,25.05,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
54,RT0054,Route 54,4,22,159.3,TATA_ACE,0,18.33,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
55,RT0055,Route 55,2,21,153.1,TEMPO_407,0,35.56,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
56,RT0056,Route 56,6,20,115.0,REEFER_17FT,1,30.13,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
57,RT0057,Route 57,3,26,150.0,EICHER_14FT,0,37.52,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
58,RT0058,Route 58,4,31,61.6,EICHER_14FT,0,43.19,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
59,RT0059,Route 59,8,15,207.2,TEMPO_407,0,37.93,MORNING,DAILY,2024-04-01,,ACTIVE,5
60,RT0060,Route 60,6,19,92.1,EICHER_14FT,0,28.23,MORNING,WEEKLY,2024-04-01,,ACTIVE,4
61,RT0061,Route 61,3,19,193.0,REEFER_17FT,1,19.6,MORNING,DAILY,2024-04-01,,ACTIVE,2
62,RT0062,Route 62,3,9,66.2,REEFER_17FT,1,23.11,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
63,RT0063,Route 63,4,24,118.8,TEMPO_407,0,40.63,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
64,RT0064,Route 64,1,30,76.8,EICHER_14FT,0,21.78,MORNING,DAILY,2024-04-01,,ACTIVE,1
65,RT0065,Route 65,5,28,144.7,TEMPO_407,0,28.85,MORNING,DAILY,2024-04-01,,ACTIVE,3
66,RT0066,Route 66,1,15,63.9,TATA_ACE,0,41.43,EVENING,ALT_DAY,2024-04-01,,ACTIVE,1
67,RT0067,Route 67,3,16,123.8,TEMPO_407,0,22.62,MORNING,DAILY,2024-04-01,,ACTIVE,2
68,RT0068,Route 68,6,17,104.6,TATA_ACE,0,22.9,MORNING,WEEKLY,2024-04-01,,ACTIVE,4
69,RT0069,Route 69,8,10,35.7,TATA_ACE,0,18.04,MORNING,DAILY,2024-04-01,,ACTIVE,5
70,RT0070,Route 70,7,33,139.3,REEFER_17FT,1,43.62,MORNING,DAILY,2024-04-01,,ACTIVE,2
71,RT0071,Route 71,5,8,153.7,TEMPO_407,0,22.11,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
72,RT0072,Route 72,1,15,182.3,TEMPO_407,0,28.99,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
73,RT0073,Route 73,5,29,157.8,TATA_ACE,0,28.67,MORNING,DAILY,2024-04-01,,ACTIVE,3
74,RT0074,Route 74,7,25,204.6,REEFER_17FT,1,31.38,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
75,RT0075,Route 75,7,17,165.8,TATA_ACE,0,28.58,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
76,RT0076,Route 76,6,16,148.7,REEFER_17FT,1,28.03,MORNING,DAILY,2024-04-01,,ACTIVE,4
77,RT0077,Route 77,5,28,190.1,REEFER_17FT,1,26.66,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
78,RT0078,Route 78,2,29,71.8,TATA_ACE,0,35.12,MORNING,DAILY,2024-04-01,,ACTIVE,1
79,RT0079,Route 79,4,21,93.3,EICHER_14FT,0,32.95,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
80,RT0080,Route 80,2,14,55.2,TATA_ACE,0,31.18,EVENING,DAILY,2024-04-01,,ACTIVE,1
81,RT0081,Route 81,5,28,113.3,TATA_ACE,0,32.57,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
82,RT0082,Route 82,1,28,134.2,TATA_ACE,0,18.56,EVENING,WEEKLY,2024-04-01,,ACTIVE,1
83,RT0083,Route 83,1,10,90.7,REEFER_17FT,1,26.25,MORNING,DAILY,2024-04-01,,ACTIVE,1
84,RT0084,Route 84,2,16,162.4,EICHER_14FT,0,39.96,MORNING,WEEKLY,2024-04-01,,ACTIVE,1
85,RT0085,Route 85,8,21,134.4,EICHER_14FT,0,42.44,MORNING,WEEKLY,2024-04-01,,ACTIVE,5
86,RT0086,Route 86,3,11,134.1,TATA_ACE,0,35.93,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
87,RT0087,Route 87,7,31,118.6,TEMPO_407,0,26.48,MORNING,DAILY,2024-04-01,,ACTIVE,2
88,RT0088,Route 88,7,31,103.0,REEFER_17FT,1,32.12,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
89,RT0089,Route 89,1,20,48.2,TEMPO_407,0,35.1,EVENING,ALT_DAY,2024-04-01,,ACTIVE,1
90,RT0090,Route 90,5,21,113.5,REEFER_17FT,1,24.09,MORNING,DAILY,2024-04-01,,ACTIVE,3
91,RT0091,Route 91,4,11,77.7,EICHER_14FT,0,24.28,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
92,RT0092,Route 92,8,8,39.2,EICHER_14FT,0,31.07,MORNING,DAILY,2024-04-01,,ACTIVE,5
93,RT0093,Route 93,2,19,204.5,REEFER_17FT,1,32.4,MORNING,DAILY,2024-04-01,,ACTIVE,1
94,RT0094,Route 94,3,8,43.9,TATA_ACE,0,44.92,MORNING,DAILY,2024-04-01,,ACTIVE,2
95,RT0095,Route 95,6,31,208.0,REEFER_17FT,1,33.83,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
96,RT0096,Route 96,6,22,208.0,REEFER_17FT,1,18.83,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
97,RT0097,Route 97,6,23,71.6,EICHER_14FT,0,27.21,EVENING,WEEKLY,2024-04-01,,ACTIVE,4
98,RT0098,Route 98,2,28,170.5,REEFER_17FT,1,39.64,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
99,RT0099,Route 99,1,28,184.1,REEFER_17FT,1,22.24,MORNING,DAILY,2024-04-01,,ACTIVE,1
100,RT0100,Route 100,1,20,78.6,EICHER_14FT,0,29.69,EVENING,DAILY,2024-04-01,,ACTIVE,1
101,RT0101,Route 101,6,27,164.7,TATA_ACE,0,24.42,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
102,RT0102,Route 102,2,11,49.0,EICHER_14FT,0,40.73,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
103,RT0103,Route 103,8,28,103.2,TEMPO_407,0,42.51,MORNING,DAILY,2024-04-01,,ACTIVE,5
104,RT0104,Route 104,5,28,87.6,TEMPO_407,0,39.47,MORNING,DAILY,2024-04-01,,ACTIVE,3
105,RT0105,Route 105,3,22,58.1,EICHER_14FT,0,23.62,MORNING,DAILY,2024-04-01,,ACTIVE,2
106,RT0106,Route 106,6,25,68.9,REEFER_17FT,1,21.64,EVENING,ALT_DAY,2024-04-01,,ACTIVE,4
107,RT0107,Route 107,4,27,126.7,TEMPO_407,0,35.44,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
108,RT0108,Route 108,6,16,132.6,EICHER_14FT,0,24.34,EVENING,DAILY,2024-04-01,,ACTIVE,4
109,RT0109,Route 109,6,32,36.7,TATA_ACE,0,26.84,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
110,RT0110,Route 110,3,18,48.1,TATA_ACE,0,21.3,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
111,RT0111,Route 111,4,13,205.6,REEFER_17FT,1,31.14,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
112,RT0112,Route 112,3,14,171.4,TATA_ACE,0,18.75,MORNING,DAILY,2024-04-01,,ACTIVE,2
113,RT0113,Route 113,4,15,136.8,TATA_ACE,0,43.34,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
114,RT0114,Route 114,1,18,54.3,EICHER_14FT,0,40.64,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
115,RT0115,Route 115,7,24,121.3,EICHER_14FT,0,32.37,MORNING,DAILY,2024-04-01,,ACTIVE,2
116,RT0116,Route 116,5,29,142.2,EICHER_14FT,0,22.76,MORNING,DAILY,2024-04-01,,ACTIVE,3
117,RT0117,Route 117,4,19,49.2,TATA_ACE,0,30.08,MORNING,DAILY,2024-04-01,,ACTIVE,2
118,RT0118,Route 118,1,25,81.5,TATA_ACE,0,29.66,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
119,RT0119,Route 119,5,27,197.5,REEFER_17FT,1,29.44,EVENING,DAILY,2024-04-01,,ACTIVE,3
120,RT0120,Route 120,2,28,192.1,TATA_ACE,0,45.18,MORNING,DAILY,2024-04-01,,ACTIVE,1
121,RT0121,Route 121,4,23,81.6,TATA_ACE,0,35.85,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
122,RT0122,Route 122,6,31,56.8,TATA_ACE,0,30.13,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
123,RT0123,Route 123,3,29,108.8,TATA_ACE,0,35.83,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
124,RT0124,Route 124,5,12,158.0,REEFER_17FT,1,37.15,EVENING,DAILY,2024-04-01,,ACTIVE,3
125,RT0125,Route 125,6,15,147.1,EICHER_14FT,0,28.25,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
126,RT0126,Route 126,4,28,72.2,TATA_ACE,0,25.21,MORNING,DAILY,2024-04-01,,ACTIVE,2
127,RT0127,Route 127,4,14,173.2,REEFER_17FT,1,24.83,EVENING,DAILY,2024-04-01,,ACTIVE,2
128,RT0128,Route 128,8,24,187.1,EICHER_14FT,0,33.8,MORNING,DAILY,2024-04-01,,ACTIVE,5
129,RT0129,Route 129,7,33,115.9,TATA_ACE,0,39.75,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
130,RT0130,Route 130,1,9,50.3,EICHER_14FT,0,36.1,MORNING,DAILY,2024-04-01,,ACTIVE,1
131,RT0131,Route 131,8,26,94.0,TATA_ACE,0,25.78,MORNING,DAILY,2024-04-01,,ACTIVE,5
132,RT0132,Route 132,7,21,70.4,TEMPO_407,0,43.64,MORNING,DAILY,2024-04-01,,ACTIVE,2
133,RT0133,Route 133,7,20,127.9,TATA_ACE,0,31.61,MORNING,DAILY,2024-04-01,,ACTIVE,2
134,RT0134,Route 134,3,26,147.2,EICHER_14FT,0,43.25,EVENING,DAILY,2024-04-01,,ACTIVE,2
135,RT0135,Route 135,3,31,84.2,TATA_ACE,0,28.55,MORNING,WEEKLY,2024-04-01,,ACTIVE,2
136,RT0136,Route 136,6,16,55.0,EICHER_14FT,0,20.86,MORNING,WEEKLY,2024-04-01,,ACTIVE,4
137,RT0137,Route 137,8,25,138.1,EICHER_14FT,0,24.51,MORNING,WEEKLY,2024-04-01,,ACTIVE,5
138,RT0138,Route 138,1,10,197.3,TATA_ACE,0,31.79,MORNING,DAILY,2024-04-01,,ACTIVE,1
139,RT0139,Route 139,8,16,146.4,REEFER_17FT,1,18.19,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
140,RT0140,Route 140,8,8,138.5,EICHER_14FT,0,33.49,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
