price_history_id,product_id,effective_from,effective_to,mrp_inr,list_price_inr,change_reason,approved_by
72,72,2024-04-01,,202.0,141.27,BASE,Pricing Committee
73,73,2024-04-01,,375.0,278.0,BASE,Pricing Committee
74,74,2024-04-01,,245.0,202.42,BASE,Pricing Committee
75,75,2024-04-01,2025-07-15,146.01,112.47,BASE,Pricing Committee
76,76,2024-04-01,,228.0,178.02,BASE,Pricing Committee
77,77,2024-04-01,2026-04-05,372.0,280.28,BASE,Pricing Committee
78,78,2024-04-01,,423.0,345.66,BASE,Pricing Committee
79,79,2024-04-01,,105.0,86.38,BASE,Pricing Committee
80,80,2024-04-01,,63.0,49.48,BASE,Pricing Committee
81,81,2024-04-01,,408.0,288.03,BASE,Pricing Committee
82,82,2024-04-01,,291.0,224.86,BASE,Pricing Committee
83,83,2024-04-01,,181.0,137.63,BASE,Pricing Committee
84,84,2024-04-01,,41.0,27.98,BASE,Pricing Committee
85,85,2024-04-01,2026-01-22,36.27,26.04,BASE,Pricing Committee
86,86,2024-04-01,,365.0,277.92,BASE,Pricing Committee
87,87,2024-04-01,2025-07-21,165.54,132.84,BASE,Pricing Committee
88,88,2024-04-01,,338.0,236.03,BASE,Pricing Committee
89,89,2024-04-01,2025-06-30,214.83,169.34,BASE,Pricing Committee
90,90,2024-04-01,,417.0,339.41,BASE,Pricing Committee
91,91,2024-04-01,,258.0,200.44,BASE,Pricing Committee
92,92,2024-04-01,,457.0,316.35,BASE,Pricing Committee
93,93,2024-04-01,,476.0,340.62,BASE,Pricing Committee
94,94,2024-04-01,,253.0,199.35,BASE,Pricing Committee
95,95,2024-04-01,2026-03-17,314.34,238.35,BASE,Pricing Committee
96,96,2024-04-01,,414.0,289.34,BASE,Pricing Committee
97,97,2024-04-01,,324.0,251.83,BASE,Pricing Committee
98,98,2024-04-01,,58.0,47.18,BASE,Pricing Committee
99,99,2024-04-01,,442.0,341.98,BASE,Pricing Committee
100,100,2024-04-01,2025-05-31,184.14,143.2,BASE,Pricing Committee
101,101,2024-04-01,,373.0,280.27,BASE,Pricing Committee
102,102,2024-04-01,2025-05-08,307.83,245.72,BASE,Pricing Committee
103,103,2024-04-01,,83.0,68.48,BASE,Pricing Committee
104,104,2024-04-01,,46.0,32.34,BASE,Pricing Committee
105,105,2024-04-01,,79.0,64.5,BASE,Pricing Committee
106,106,2024-04-01,,446.0,373.55,BASE,Pricing Committee
107,107,2024-04-01,,405.0,322.51,BASE,Pricing Committee
108,108,2024-04-01,2026-02-15,327.36,251.57,BASE,Pricing Committee
109,109,2024-04-01,2025-10-10,255.75,176.01,BASE,Pricing Committee
110,110,2024-04-01,,125.0,92.39,BASE,Pricing Committee
111,111,2024-04-01,2025-05-28,306.9,215.83,BASE,Pricing Committee
112,112,2024-04-01,2026-02-01,121.83,91.85,BASE,Pricing Committee
113,113,2024-04-01,,37.0,26.48,BASE,Pricing Committee
114,114,2024-04-01,,219.0,156.89,BASE,Pricing Committee
115,115,2024-04-01,,438.0,342.11,BASE,Pricing Committee
116,116,2024-04-01,,125.0,92.52,BASE,Pricing Committee
117,117,2024-04-01,,150.0,104.96,BASE,Pricing Committee
118,118,2024-04-01,2025-08-19,387.81,320.98,BASE,Pricing Committee
119,119,2024-04-01,,267.0,217.73,BASE,Pricing Committee
120,120,2024-04-01,,433.0,305.4,BASE,Pricing Committee
121,121,2024-04-01,2025-05-23,159.96,117.27,BASE,Pricing Committee
122,122,2024-04-01,2025-06-25,85.56,65.29,BASE,Pricing Committee
123,123,2024-04-01,,389.0,294.06,BASE,Pricing Committee
124,124,2024-04-01,2025-04-10,133.92,110.89,BASE,Pricing Committee
125,125,2024-04-01,,212.0,166.38,BASE,Pricing Committee
126,126,2024-04-01,,45.0,37.11,BASE,Pricing Committee
127,127,2024-04-01,,96.0,73.9,BASE,Pricing Committee
128,128,2024-04-01,,353.0,262.41,BASE,Pricing Committee
129,129,2024-04-01,,70.0,57.83,BASE,Pricing Committee
130,130,2024-04-01,,476.0,343.09,BASE,Pricing Committee
131,131,2024-04-01,,36.0,29.17,BASE,Pricing Committee
132,132,2024-04-01,,251.0,196.73,BASE,Pricing Committee
133,133,2024-04-01,,68.0,47.63,BASE,Pricing Committee
134,134,2024-04-01,,229.0,173.95,BASE,Pricing Committee
135,135,2024-04-01,,212.0,146.1,BASE,Pricing Committee
136,136,2024-04-01,,144.0,104.12,BASE,Pricing Committee
137,137,2024-04-01,,152.0,126.35,BASE,Pricing Committee
138,138,2024-04-01,2026-03-28,204.6,145.73,BASE,Pricing Committee
139,139,2024-04-01,,141.0,115.92,BASE,Pricing Committee
140,140,2024-04-01,,226.0,185.46,BASE,Pricing Committee
141,141,2024-04-01,,107.0,84.86,BASE,Pricing Committee
142,142,2024-04-01,,392.0,269.15,BASE,Pricing Committee
143,143,2024-04-01,,103.0,75.78,BASE,Pricing Committee
144,144,2024-04-01,2025-04-04,422.22,334.11,BASE,Pricing Committee
145,145,2024-04-01,2026-04-14,179.49,128.95,BASE,Pricing Committee
146,146,2024-04-01,,323.0,229.96,BASE,Pricing Committee
147,147,2024-04-01,,101.0,73.47,BASE,Pricing Committee
148,148,2024-04-01,,224.0,167.07,BASE,Pricing Committee
149,149,2024-04-01,,442.0,367.79,BASE,Pricing Committee
150,150,2024-04-01,,239.0,199.2,BASE,Pricing Committee
151,151,2024-04-01,,401.0,325.08,BASE,Pricing Committee
152,152,2024-04-01,,57.0,45.58,BASE,Pricing Committee
153,153,2024-04-01,,123.0,92.18,BASE,Pricing Committee
154,154,2024-04-01,,397.0,322.92,BASE,Pricing Committee
155,155,2024-04-01,,131.0,101.46,BASE,Pricing Committee
156,156,2024-04-01,,464.0,346.11,BASE,Pricing Committee
157,157,2024-04-01,,331.0,262.43,BASE,Pricing Committee
158,158,2024-04-01,,20.0,14.73,BASE,Pricing Committee
159,159,2024-04-01,,356.0,295.69,BASE,Pricing Committee
160,160,2024-04-01,,188.0,157.42,BASE,Pricing Committee
161,161,2024-04-01,,108.0,73.59,BASE,Pricing Committee
162,162,2024-04-01,,325.0,241.87,BASE,Pricing Committee
163,163,2024-04-01,,90.0,72.78,BASE,Pricing Committee
164,164,2024-04-01,2025-11-23,443.61,365.24,BASE,Pricing Committee
165,165,2024-04-01,,110.0,76.73,BASE,Pricing Committee
166,166,2024-04-01,,352.0,276.29,BASE,Pricing Committee
167,167,2024-04-01,,361.0,287.72,BASE,Pricing Committee
168,168,2024-04-01,,477.0,377.75,BASE,Pricing Committee
169,169,2024-04-01,,339.0,272.61,BASE,Pricing Committee
170,170,2024-04-01,,391.0,300.38,BASE,Pricing Committee
171,171,2024-04-01,,148.0,119.07,BASE,Pricing Committee
172,172,2024-04-01,,132.0,106.26,BASE,Pricing Committee
173,173,2024-04-01,,409.0,332.58,BASE,Pricing Committee
174,174,2024-04-01,,468.0,346.87,BASE,Pricing Committee
175,175,2024-04-01,,332.0,270.34,BASE,Pricing Committee
176,176,2024-04-01,,27.0,20.54,BASE,Pricing Committee
177,177,2024-04-01,,144.0,116.88,BASE,Pricing Committee
178,178,2024-04-01,,246.0,179.01,BASE,Pricing Committee
179,179,2024-04-01,,357.0,266.31,BASE,Pricing Committee
180,180,2024-04-01,2025-07-10,413.85,341.19,BASE,Pricing Committee
181,181,2024-04-01,,40.0,31.17,BASE,Pricing Committee
182,182,2024-04-01,,245.0,192.82,BASE,Pricing Committee
183,183,2024-04-01,,95.0,72.69,BASE,Pricing Committee
184,184,2024-04-01,,37.0,27.78,BASE,Pricing Committee
185,185,2024-04-01,,411.0,332.71,BASE,Pricing Committee
186,186,2024-04-01,,107.0,87.67,BASE,Pricing Committee
187,187,2024-04-01,,435.0,358.51,BASE,Pricing Committee
188,188,2024-04-01,,67.0,49.13,BASE,Pricing Committee
189,189,2024-04-01,,184.0,136.24,BASE,Pricing Committee
190,190,2024-04-01,,356.0,296.61,BASE,Pricing Committee
191,191,2024-04-01,2026-03-28,56.73,39.4,BASE,Pricing Committee
192,192,2024-04-01,,367.0,277.43,BASE,Pricing Committee
193,193,2024-04-01,,420.0,293.8,BASE,Pricing Committee
194,194,2024-04-01,,41.0,32.42,BASE,Pricing Committee
195,195,2024-04-01,,218.0,168.04,BASE,Pricing Committee
196,196,2024-04-01,,296.0,226.16,BASE,Pricing Committee
197,197,2024-04-01,,266.0,207.32,BASE,Pricing Committee
198,198,2024-04-01,,477.0,374.05,BASE,Pricing Committee
199,199,2024-04-01,2026-03-15,312.48,217.14,BASE,Pricing Committee
200,200,2024-04-01,,383.0,310.21,BASE,Pricing Committee
201,201,2024-04-01,,108.0,86.75,BASE,Pricing Committee
202,202,2024-04-01,,454.0,335.15,BASE,Pricing Committee
203,203,2024-04-01,2025-12-16,247.38,168.96,BASE,Pricing Committee
204,204,2024-04-01,,298.0,230.94,BASE,Pricing Committee
205,205,2024-04-01,,480.0,343.52,BASE,Pricing Committee
206,206,2024-04-01,,315.0,260.78,BASE,Pricing Committee
207,207,2024-04-01,,315.0,229.35,BASE,Pricing Committee
208,208,2024-04-01,2026-04-12,302.25,209.24,BASE,Pricing Committee
209,209,2024-04-01,,373.0,302.45,BASE,Pricing Committee
210,210,2024-04-01,,323.0,254.14,BASE,Pricing Committee
211,211,2024-04-01,,21.0,15.26,BASE,Pricing Committee
212,212,2024-04-01,2026-02-13,137.64,96.04,BASE,Pricing Committee
213,213,2024-04-01,,219.0,164.24,BASE,Pricing Committee
214,214,2024-04-01,,340.0,234.56,BASE,Pricing Committee
215,215,2024-04-01,2025-11-21,382.23,320.62,BASE,Pricing Committee
216,216,2024-04-01,,242.0,183.61,BASE,Pricing Committee
217,217,2024-04-01,2025-06-26,398.04,302.61,BASE,Pricing Committee
218,218,2024-04-01,,211.0,163.65,BASE,Pricing Committee
219,219,2024-04-01,,407.0,312.83,BASE,Pricing Committee
220,220,2024-04-01,,156.0,110.85,BASE,Pricing Committee
221,221,2024-04-01,,285.0,234.64,BASE,Pricing Committee
222,222,2024-04-01,,328.0,231.34,BASE,Pricing Committee
223,223,2024-04-01,,426.0,300.59,BASE,Pricing Committee
224,224,2024-04-01,,310.0,240.21,BASE,Pricing Committee
225,225,2024-04-01,,22.0,17.52,BASE,Pricing Committee
226,226,2024-04-01,,468.0,322.2,BASE,Pricing Committee
227,227,2024-04-01,,360.0,255.05,BASE,Pricing Committee
228,228,2024-04-01,,279.0,197.46,BASE,Pricing Committee
229,229,2024-04-01,,293.0,202.3,BASE,Pricing Committee
230,230,2024-04-01,,343.0,258.58,BASE,Pricing Committee
231,231,2024-04-01,,249.0,189.69,BASE,Pricing Committee
232,232,2024-04-01,,128.0,101.94,BASE,Pricing Committee
233,233,2024-04-01,,59.0,40.75,BASE,Pricing Committee
234,234,2024-04-01,,144.0,100.36,BASE,Pricing Committee
235,235,2024-04-01,,171.0,138.58,BASE,Pricing Committee
236,236,2024-04-01,2025-05-03,78.12,61.47,BASE,Pricing Committee
237,237,2024-04-01,,136.0,92.96,BASE,Pricing Committee
238,238,2024-04-01,,394.0,273.65,BASE,Pricing Committee
239,239,2024-04-01,,472.0,377.07,BASE,Pricing Committee
240,240,2024-04-01,,480.0,331.1,BASE,Pricing Committee
241,241,2024-04-01,2026-03-05,99.51,80.91,BASE,Pricing Committee
242,242,2024-04-01,,336.0,255.15,BASE,Pricing Committee
243,243,2024-04-01,,288.0,225.19,BASE,Pricing Committee
244,244,2024-04-01,,391.0,303.18,BASE,Pricing Committee
245,245,2024-04-01,2025-10-18,83.7,61.31,BASE,Pricing Committee
246,246,2024-04-01,,469.0,337.59,BASE,Pricing Committee
247,247,2024-04-01,,458.0,323.28,BASE,Pricing Committee
248,248,2024-04-01,,214.0,146.53,BASE,Pricing Committee
249,249,2024-04-01,,251.0,209.96,BASE,Pricing Committee
250,250,2024-04-01,,449.0,352.4,BASE,Pricing Committee
251,251,2024-04-01,,358.0,255.65,BASE,Pricing Committee
252,252,2024-04-01,,322.0,260.55,BASE,Pricing Committee
253,253,2024-04-01,,167.0,119.34,BASE,Pricing Committee
254,254,2024-04-01,2025-08-17,145.08,108.86,BASE,Pricing Committee
255,255,2024-04-01,2025-04-18,425.94,316.46,BASE,Pricing Committee
256,256,2024-04-01,,163.0,110.9,BASE,Pricing Committee
257,257,2024-04-01,,334.0,261.82,BASE,Pricing Committee
258,258,2024-04-01,2026-02-17,194.37,161.91,BASE,Pricing Committee
259,259,2024-04-01,,422.0,310.47,BASE,Pricing Committee
260,260,2024-04-01,,121.0,99.62,BASE,Pricing Committee
261,261,2024-04-01,,232.0,161.58,BASE,Pricing Committee
262,262,2024-04-01,,403.0,335.78,BASE,Pricing Committee
263,263,2024-04-01,,322.0,232.59,BASE,Pricing Committee
264,264,2024-04-01,,70.0,50.05,BASE,Pricing Committee
265,265,2024-04-01,,351.0,246.74,BASE,Pricing Committee
266,266,2024-04-01,,179.0,125.95,BASE,Pricing Committee
267,267,2024-04-01,,87.0,69.83,BASE,Pricing Committee
268,268,2024-04-01,,230.0,157.69,BASE,Pricing Committee
269,269,2024-04-01,,396.0,272.47,BASE,Pricing Committee
270,270,2024-04-01,,272.0,190.61,BASE,Pricing Committee
271,271,2024-04-01,,314.0,213.98,BASE,Pricing Committee
272,272,2024-04-01,,186.0,129.6,BASE,Pricing Committee
273,273,2024-04-01,,453.0,327.91,BASE,Pricing Committee
274,274,2024-04-01,,296.0,234.03,BASE,Pricing Committee
275,275,2024-04-01,,392.0,299.23,BASE,Pricing Committee
276,276,2024-04-01,,244.0,178.64,BASE,Pricing Committee
277,277,2024-04-01,,381.0,304.85,BASE,Pricing Committee
278,278,2024-04-01,,170.0,118.99,BASE,Pricing Committee
279,279,2024-04-01,,222.0,165.44,BASE,Pricing Committee
280,280,2024-04-01,,51.0,38.3,BASE,Pricing Committee
281,281,2024-04-01,2026-02-13,347.82,278.38,BASE,Pricing Committee
282,282,2024-04-01,,272.0,214.28,BASE,Pricing Committee
283,283,2024-04-01,2025-07-19,420.36,307.58,BASE,Pricing Committee
284,284,2024-04-01,,32.0,22.21,BASE,Pricing Committee
285,285,2024-04-01,,389.0,290.27,BASE,Pricing Committee
286,286,2024-04-01,2026-01-12,180.42,143.22,BASE,Pricing Committee
287,287,2024-04-01,,448.0,349.05,BASE,Pricing Committee
288,288,2024-04-01,,210.0,148.26,BASE,Pricing Committee
289,289,2024-04-01,2025-12-13,154.38,122.44,BASE,Pricing Committee
290,290,2024-04-01,,274.0,214.73,BASE,Pricing Committee
291,291,2024-04-01,,176.0,120.69,BASE,Pricing Committee
292,292,2024-04-01,,98.0,76.4,BASE,Pricing Committee
293,293,2024-04-01,,31.0,23.79,BASE,Pricing Committee
294,294,2024-04-01,,461.0,364.89,BASE,Pricing Committee
295,295,2024-04-01,,364.0,272.27,BASE,Pricing Committee
296,296,2024-04-01,,343.0,264.89,BASE,Pricing Committee
297,297,2024-04-01,2025-05-18,86.49,64.8,BASE,Pricing Committee
298,298,2024-04-01,2025-11-16,155.31,122.16,BASE,Pricing Committee
299,299,2024-04-01,,331.0,234.94,BASE,Pricing Committee
300,300,2024-04-01,,303.0,250.07,BASE,Pricing Committee
301,301,2024-04-01,,74.0,53.3,BASE,Pricing Committee
302,302,2024-04-01,,53.0,40.93,BASE,Pricing Committee
303,303,2024-04-01,2025-05-01,266.91,188.54,BASE,Pricing Committee
304,304,2024-04-01,,185.0,145.31,BASE,Pricing Committee
305,305,2024-04-01,,200.0,148.26,BASE,Pricing Committee
306,306,2024-04-01,,311.0,235.43,BASE,Pricing Committee
307,307,2024-04-01,,191.0,134.8,BASE,Pricing Committee
308,308,2024-04-01,,305.0,212.89,BASE,Pricing Committee
309,309,2024-04-01,,106.0,77.21,BASE,Pricing Committee
310,310,2024-04-01,2026-03-31,416.64,326.15,BASE,Pricing Committee
311,311,2024-04-01,,228.0,164.38,BASE,Pricing Committee
312,312,2024-04-01,2026-02-23,139.5,107.18,BASE,Pricing Committee
313,313,2024-04-01,,99.0,75.08,BASE,Pricing Committee
314,314,2024-04-01,,421.0,325.54,BASE,Pricing Committee
315,315,2024-04-01,,268.0,222.5,BASE,Pricing Committee
316,316,2024-04-01,,285.0,215.47,BASE,Pricing Committee
317,317,2024-04-01,,66.0,54.53,BASE,Pricing Committee
318,318,2024-04-01,,79.0,59.17,BASE,Pricing Committee
319,319,2024-04-01,,466.0,373.55,BASE,Pricing Committee
320,320,2024-04-01,,284.0,198.88,BASE,Pricing Committee
321,321,2024-04-01,,310.0,254.72,BASE,Pricing Committee
322,322,2024-04-01,,258.0,183.89,BASE,Pricing Committee
323,323,2024-04-01,2025-10-01,47.43,36.44,BASE,Pricing Committee
324,324,2024-04-01,2025-08-18,274.35,201.67,BASE,Pricing Committee
325,325,2024-04-01,,23.0,17.2,BASE,Pricing Committee
326,326,2024-04-01,2026-03-02,164.61,133.67,BASE,Pricing Committee
327,327,2024-04-01,,446.0,310.28,BASE,Pricing Committee
328,328,2024-04-01,,88.0,65.32,BASE,Pricing Committee
329,329,2024-04-01,,129.0,91.25,BASE,Pricing Committee
330,330,2024-04-01,,381.0,280.94,BASE,Pricing Committee
331,331,2024-04-01,,358.0,273.4,BASE,Pricing Committee
332,332,2024-04-01,,444.0,307.56,BASE,Pricing Committee
333,333,2024-04-01,,255.0,178.39,BASE,Pricing Committee
334,334,2024-04-01,2025-08-04,163.68,116.81,BASE,Pricing Committee
335,335,2024-04-01,,177.0,140.95,BASE,Pricing Committee
336,336,2024-04-01,,469.0,329.37,BASE,Pricing Committee
337,337,2024-04-01,,421.0,306.66,BASE,Pricing Committee
338,338,2024-04-01,,349.0,274.61,BASE,Pricing Committee
339,339,2024-04-01,,261.0,178.95,BASE,Pricing Committee
340,340,2024-04-01,,82.0,65.87,BASE,Pricing Committee
341,341,2024-04-01,,300.0,224.24,BASE,Pricing Committee
342,9,2026-01-13,,77.0,63.47,COMPETITIVE,Pricing Committee
343,297,2025-05-19,,93.0,69.68,INPUT_COST,Pricing Committee
344,77,2026-04-06,,400.0,301.38,INPUT_COST,Pricing Committee
345,312,2026-02-24,,150.0,115.25,GST_REVISION,Pricing Committee
346,324,2025-08-19,,295.0,216.85,GST_REVISION,Pricing Committee
347,95,2026-03-18,,338.0,256.29,INPUT_COST,Pricing Committee
348,75,2025-07-16,,157.0,120.94,COMPETITIVE,Pricing Committee
349,5,2026-01-20,,22.0,17.13,COMPETITIVE,Pricing Committee
350,208,2026-04-13,,325.0,224.99,GST_REVISION,Pricing Committee
351,109,2025-10-11,,275.0,189.26,GST_REVISION,Pricing Committee
352,298,2025-11-17,,167.0,131.35,INPUT_COST,Pricing Committee
353,286,2026-01-13,,194.0,154.0,GST_REVISION,Pricing Committee
354,258,2026-02-18,,209.0,174.1,INPUT_COST,Pricing Committee
355,118,2025-08-20,,417.0,345.14,INPUT_COST,Pricing Committee
356,289,2025-12-14,,166.0,131.66,COMPETITIVE,Pricing Committee
357,199,2026-03-16,,336.0,233.48,COMPETITIVE,Pricing Committee
358,138,2026-03-29,,220.0,156.7,INPUT_COST,Pricing Committee
359,281,2026-02-14,,374.0,299.33,INPUT_COST,Pricing Committee
360,326,2026-03-03,,177.0,143.73,GST_REVISION,Pricing Committee
361,108,2026-02-16,,352.0,270.51,INPUT_COST,Pricing Committee
362,254,2025-08-18,,156.0,117.05,COMPETITIVE,Pricing Committee
363,25,2026-04-03,,95.0,69.09,INPUT_COST,Pricing Committee
364,303,2025-05-02,,287.0,202.73,COMPETITIVE,Pricing Committee
365,111,2025-05-29,,330.0,232.07,GST_REVISION,Pricing Committee
366,14,2025-11-08,,179.0,127.91,INPUT_COST,Pricing Committee
367,87,2025-07-22,,178.0,142.84,GST_REVISION,Pricing Committee
368,283,2025-07-20,,452.0,330.73,COMPETITIVE,Pricing Committee
369,215,2025-11-22,,411.0,344.75,GST_REVISION,Pricing Committee
370,22,2025-06-23,,35.0,27.04,COMPETITIVE,Pricing Committee
371,50,2025-08-20,,386.0,272.47,INPUT_COST,Pricing Committee
372,191,2026-03-29,,61.0,42.37,INPUT_COST,Pricing Committee
373,245,2025-10-19,,90.0,65.92,INPUT_COST,Pricing Committee
374,100,2025-06-01,,198.0,153.98,COMPETITIVE,Pricing Committee
375,180,2025-07-11,,445.0,366.87,GST_REVISION,Pricing Committee
376,102,2025-05-09,,331.0,264.22,INPUT_COST,Pricing Committee
377,55,2025-11-23,,124.0,92.6,GST_REVISION,Pricing Committee
378,145,2026-04-15,,193.0,138.66,GST_REVISION,Pricing Committee
379,30,2025-12-13,,432.0,331.79,INPUT_COST,Pricing Committee
380,255,2025-04-19,,458.0,340.28,INPUT_COST,Pricing Committee
381,310,2026-04-01,,448.0,350.7,INPUT_COST,Pricing Committee
382,112,2026-02-02,,131.0,98.76,INPUT_COST,Pricing Committee
383,31,2025-11-04,,418.0,317.22,GST_REVISION,Pricing Committee
384,236,2025-05-04,,84.0,66.1,GST_REVISION,Pricing Committee
385,241,2026-03-06,,107.0,87.0,GST_REVISION,Pricing Committee
386,323,2025-10-02,,51.0,39.18,GST_REVISION,Pricing Committee
387,217,2025-06-27,,428.0,325.39,GST_REVISION,Pricing Committee
388,203,2025-12-17,,266.0,181.68,COMPETITIVE,Pricing Committee
389,48,2025-08-14,,327.0,227.74,GST_REVISION,Pricing Committee
390,334,2025-08-05,,176.0,125.6,GST_REVISION,Pricing Committee
391,40,2025-04-07,,368.0,274.21,COMPETITIVE,Pricing Committee
392,4,2026-03-31,,342.0,265.85,GST_REVISION,Pricing Committee
393,122,2025-06-26,,92.0,70.2,INPUT_COST,Pricing Committee
394,144,2025-04-05,,454.0,359.26,INPUT_COST,Pricing Committee
395,85,2026-01-23,,39.0,28.0,COMPETITIVE,Pricing Committee
396,89,2025-07-01,,231.0,182.09,GST_REVISION,Pricing Committee
397,124,2025-04-11,,144.0,119.24,GST_REVISION,Pricing Committee
398,2,2026-03-24,,354.0,261.82,INPUT_COST,Pricing Committee
399,212,2026-02-14,,148.0,103.27,INPUT_COST,Pricing Committee
400,51,2025-06-13,,305.0,227.67,INPUT_COST,Pricing Committee
401,164,2025-11-24,,477.0,392.73,COMPETITIVE,Pricing Committee
402,121,2025-05-24,,172.0,126.1,GST_REVISION,Pricing Committee
