return_id,credit_note_number,order_id,order_line_id,outlet_id,product_id,return_date,return_qty,qty_uom,return_reason_code,credit_note_value_inr,approved_by,approval_date,disposition,status
53,CN0000053,36236,221480,168,260,2025-09-17,1.0,CASE,RT05_OVERSUPPLY,156.56,AUTO,,VENDOR_RECOVERY,APPROVED
54,CN0000054,41966,256619,298,276,2025-10-26,58.0,EACH,RT05_OVERSUPPLY,51.56,AUTO,,SCRAP,PENDING
55,CN0000055,16862,103474,323,277,2025-05-13,1.0,CASE,RT04_QUALITY,565.22,ASM,,RESTOCK,APPROVED
56,CN0000056,7991,49105,154,48,2025-03-08,1.0,CASE,RT04_QUALITY,347.28,RSM,,RESTOCK,PENDING
57,CN0000057,57075,349099,629,53,2026-01-23,1.0,CASE,RT03_WRONG_SKU,389.99,AUTO,,SCRAP,APPROVED
58,CN0000058,48634,297401,298,244,2025-11-24,-8.0,CASE,RT03_WRONG_SKU,155.43,RSM,,SCRAP,APPROVED
59,CN0000059,24486,150256,321,27,2025-06-16,2.0,EACH,RT02_DAMAGE_TRANSIT,47.72,ASM,,SCRAP,PENDING
60,CN0000060,35635,217807,7,201,2025-09-18,1.0,EACH,RT01_NEAR_EXPIRY,29.25,AUTO,,SCRAP,APPROVED
61,CN0000061,1094,6735,51,223,2025-02-01,2.0,CASE,RT01_NEAR_EXPIRY,1279.86,AUTO,,RESTOCK,APPROVED
62,CN0000062,64803,396324,650,295,2026-03-17,1.0,CASE,RT05_OVERSUPPLY,2935.14,AUTO,,SCRAP,APPROVED
63,CN0000063,26743,163988,223,158,2025-07-01,7.0,CASE,RT04_QUALITY,11.08,ASM,,SCRAP,APPROVED
64,CN0000064,40182,245566,167,243,2025-10-17,5.0,CASE,RT06_COLD_CHAIN_BREACH,477.96,RSM,,SCRAP,PENDING
65,CN0000065,34142,208866,209,214,2025-09-09,1.0,CASE,RT01_NEAR_EXPIRY,1359.07,RSM,,RESTOCK,REJECTED
66,CN0000066,45020,275421,157,179,2025-10-24,-4.0,CASE,RT02_DAMAGE_TRANSIT,848.63,AUTO,,RESTOCK,PENDING
67,CN0000067,75656,462238,337,330,2026-06-03,1.0,CASE,RT01_NEAR_EXPIRY,112.92,RSM,,SCRAP,APPROVED
68,CN0000068,29912,183110,264,90,2025-07-26,19.0,EACH,RT02_DAMAGE_TRANSIT,138.31,ASM,,RESTOCK,REJECTED
69,CN0000069,9427,58113,438,287,2025-04-01,10.0,EACH,RT01_NEAR_EXPIRY,139.25,ASM,,SCRAP,PENDING
70,CN0000070,761,4728,430,297,2025-01-12,44.0,EACH,RT02_DAMAGE_TRANSIT,23.97,RSM,,SCRAP,APPROVED
71,CN0000071,23037,141287,162,274,2025-06-19,2.0,CASE,RT03_WRONG_SKU,789.02,ASM,,VENDOR_RECOVERY,APPROVED
72,CN0000072,54640,333765,682,21,2026-01-10,22.0,EACH,RT02_DAMAGE_TRANSIT,15.55,ASM,,SCRAP,REJECTED
73,CN0000073,60461,369782,314,155,2026-02-03,5.0,CASE,RT03_WRONG_SKU,212.92,ASM,,RESTOCK,REJECTED
74,CN0000074,14959,91930,444,146,2025-04-13,5.0,CASE,RT01_NEAR_EXPIRY,914.6,RSM,,SCRAP,PENDING
75,CN0000075,2152,13252,239,128,2025-01-25,4.0,CASE,RT05_OVERSUPPLY,1913.49,ASM,,SCRAP,PENDING
76,CN0000076,83357,509533,492,59,2026-07-19,2.0,CASE,RT06_COLD_CHAIN_BREACH,492.78,AUTO,,SCRAP,PENDING
77,CN0000077,45672,279307,637,330,2025-11-05,5.0,CASE,RT05_OVERSUPPLY,88.33,ASM,,VENDOR_RECOVERY,APPROVED
78,CN0000078,64371,393714,592,95,2026-03-02,36.0,EACH,RT05_OVERSUPPLY,34.93,ASM,,SCRAP,APPROVED
79,CN0000079,60627,370799,158,11,2026-02-24,2.0,CASE,RT02_DAMAGE_TRANSIT,1047.26,ASM,,SCRAP,APPROVED
80,CN0000080,47671,291467,676,42,2025-11-17,1.0,CASE,RT05_OVERSUPPLY,261.15,ASM,,SCRAP,APPROVED
81,CN0000081,69219,423323,489,288,2026-04-21,1.0,CASE,RT05_OVERSUPPLY,97.24,AUTO,,SCRAP,PENDING
82,CN0000082,55322,338085,151,91,2026-01-27,1.0,CASE,RT05_OVERSUPPLY,1635.83,AUTO,,VENDOR_RECOVERY,PENDING
83,CN0000083,1407,8597,438,245,2025-01-27,1.0,CASE,RT06_COLD_CHAIN_BREACH,229.46,AUTO,,SCRAP,APPROVED
84,CN0000084,39082,238795,394,114,2025-09-21,2.0,CASE,RT06_COLD_CHAIN_BREACH,103.93,RSM,,RESTOCK,PENDING
85,CN0000085,74536,455498,268,34,2026-05-20,2.0,CASE,RT02_DAMAGE_TRANSIT,447.34,ASM,,RESTOCK,APPROVED
86,CN0000086,12099,74396,194,139,2025-04-04,1.0,CASE,RT05_OVERSUPPLY,1194.65,AUTO,,VENDOR_RECOVERY,REJECTED
87,CN0000087,64933,397138,211,43,2026-03-08,1.0,CASE,RT03_WRONG_SKU,119.95,AUTO,,SCRAP,APPROVED
88,CN0000088,9225,56902,540,310,2025-03-15,2.0,CASE,RT01_NEAR_EXPIRY,713.24,AUTO,,SCRAP,REJECTED
89,CN0000089,42777,261709,397,197,2025-10-13,1.0,CASE,RT04_QUALITY,2283.24,RSM,,RESTOCK,APPROVED
90,CN0000090,52110,318481,160,308,2026-01-03,1.0,CASE,RT01_NEAR_EXPIRY,2501.26,RSM,,VENDOR_RECOVERY,APPROVED
91,CN0000091,38504,235248,12,75,2025-09-11,2.0,CASE,RT02_DAMAGE_TRANSIT,251.59,AUTO,,SCRAP,APPROVED
92,CN0000092,17521,107410,278,305,2025-05-12,44.0,EACH,RT06_COLD_CHAIN_BREACH,8.44,AUTO,,VENDOR_RECOVERY,PENDING
93,CN0000093,34982,213913,38,102,2025-08-20,6.0,CASE,RT03_WRONG_SKU,1230.01,RSM,,SCRAP,PENDING
94,CN0000094,18724,114854,629,152,2025-05-18,1.0,CASE,RT04_QUALITY,331.37,AUTO,,SCRAP,REJECTED
95,CN0000095,75352,460416,273,304,2026-05-11,1.0,CASE,RT06_COLD_CHAIN_BREACH,1418.41,AUTO,,RESTOCK,APPROVED
96,CN0000096,1001,6124,196,58,2025-01-14,176.0,EACH,RT04_QUALITY,38.63,ASM,,SCRAP,APPROVED
97,CN0000097,35750,218491,240,28,2025-09-03,2.0,CASE,RT03_WRONG_SKU,204.11,ASM,,SCRAP,REJECTED
98,CN0000098,23007,141105,98,216,2025-06-12,1.0,CASE,RT01_NEAR_EXPIRY,392.1,ASM,,SCRAP,APPROVED
99,CN0000099,58144,355597,718,40,2026-02-13,-7.0,CASE,RT01_NEAR_EXPIRY,384.54,ASM,,SCRAP,PENDING
100,CN0000100,76390,466874,533,57,2026-05-21,3.0,CASE,RT02_DAMAGE_TRANSIT,291.46,RSM,,SCRAP,APPROVED
101,CN0000101,27604,169206,528,262,2025-07-11,1.0,CASE,RT02_DAMAGE_TRANSIT,3018.92,RSM,,RESTOCK,REJECTED
102,CN0000102,4378,26892,528,96,2025-02-03,5.0,CASE,RT03_WRONG_SKU,3464.93,AUTO,,RESTOCK,APPROVED
103,CN0000103,47411,289920,538,265,2025-11-26,3.0,CASE,RT01_NEAR_EXPIRY,726.73,RSM,,SCRAP,REJECTED
104,CN0000104,28453,174342,389,45,2025-07-15,6.0,CASE,RT01_NEAR_EXPIRY,987.66,ASM,,SCRAP,APPROVED
105,CN0000105,7833,48066,247,6,2025-03-11,10.0,CASE,RT04_QUALITY,832.42,ASM,,SCRAP,PENDING
106,CN0000106,70709,432421,116,324,2026-04-16,38.0,EACH,RT01_NEAR_EXPIRY,55.54,AUTO,,SCRAP,APPROVED
107,CN0000107,26543,162721,165,28,2025-07-22,1.0,CASE,RT03_WRONG_SKU,168.83,AUTO,,RESTOCK,REJECTED
108,CN0000108,67816,414621,580,206,2026-04-08,144.0,EACH,RT01_NEAR_EXPIRY,28.27,ASM,,VENDOR_RECOVERY,APPROVED
109,CN0000109,60009,367024,484,54,2026-02-17,111.0,EACH,RT01_NEAR_EXPIRY,68.42,AUTO,,RESTOCK,PENDING
110,CN0000110,10450,64443,468,21,2025-04-09,1.0,CASE,RT04_QUALITY,3017.38,ASM,,VENDOR_RECOVERY,PENDING
111,CN0000111,40078,244964,515,67,2025-10-07,33.0,EACH,RT02_DAMAGE_TRANSIT,2.72,ASM,,SCRAP,APPROVED
112,CN0000112,74586,455797,181,220,2026-05-22,108.0,EACH,RT01_NEAR_EXPIRY,30.06,ASM,,RESTOCK,REJECTED
113,CN0000113,58031,354961,147,234,2026-01-28,3.0,CASE,RT02_DAMAGE_TRANSIT,296.17,RSM,,SCRAP,APPROVED
114,CN0000114,60438,369652,512,207,2026-02-02,1.0,CASE,RT04_QUALITY,520.67,ASM,,SCRAP,REJECTED
115,CN0000115,68788,420698,360,152,2026-03-30,1.0,CASE,RT04_QUALITY,620.62,AUTO,,RESTOCK,APPROVED
116,CN0000116,13911,85584,555,313,2025-04-10,2.0,CASE,RT02_DAMAGE_TRANSIT,80.47,RSM,,SCRAP,PENDING
117,CN0000117,72193,441502,665,248,2026-04-30,1.0,CASE,RT05_OVERSUPPLY,187.43,ASM,,SCRAP,REJECTED
118,CN0000118,18767,115115,548,55,2025-05-28,-2.0,CASE,RT06_COLD_CHAIN_BREACH,81.37,ASM,,RESTOCK,PENDING
119,CN0000119,47913,292920,271,41,2025-11-16,3.0,CASE,RT05_OVERSUPPLY,120.09,AUTO,,RESTOCK,PENDING
120,CN0000120,33246,203505,7,69,2025-08-21,5.0,CASE,RT01_NEAR_EXPIRY,192.57,AUTO,,SCRAP,REJECTED
121,CN0000121,72813,445249,142,298,2026-05-13,4.0,CASE,RT01_NEAR_EXPIRY,126.46,RSM,,RESTOCK,PENDING
122,CN0000122,54718,334242,423,237,2026-01-01,4.0,CASE,RT06_COLD_CHAIN_BREACH,307.32,ASM,,RESTOCK,PENDING
123,CN0000123,80735,493621,123,156,2026-07-07,6.0,CASE,RT01_NEAR_EXPIRY,180.0,ASM,,RESTOCK,APPROVED
124,CN0000124,3448,21320,530,194,2025-02-12,6.0,CASE,RT02_DAMAGE_TRANSIT,330.62,RSM,,SCRAP,APPROVED
125,CN0000125,19637,120460,631,89,2025-06-08,1.0,CASE,RT01_NEAR_EXPIRY,263.26,ASM,,SCRAP,APPROVED
126,CN0000126,78664,480804,366,262,2026-06-21,1.0,CASE,RT02_DAMAGE_TRANSIT,2492.26,RSM,,VENDOR_RECOVERY,APPROVED
127,CN0000127,55542,339402,530,75,2026-01-07,170.0,EACH,RT05_OVERSUPPLY,7.29,ASM,,RESTOCK,PENDING
128,CN0000128,49709,303925,358,324,2025-12-12,25.0,EACH,RT05_OVERSUPPLY,54.04,ASM,,RESTOCK,APPROVED
129,CN0000129,25374,155652,422,293,2025-07-09,1.0,CASE,RT06_COLD_CHAIN_BREACH,25.47,RSM,,SCRAP,APPROVED
130,CN0000130,47396,289843,553,81,2025-11-11,1.0,CASE,RT01_NEAR_EXPIRY,681.01,RSM,,VENDOR_RECOVERY,APPROVED
131,CN0000131,8471,52088,162,125,2025-03-07,5.0,CASE,RT01_NEAR_EXPIRY,560.22,RSM,,SCRAP,REJECTED
132,CN0000132,77065,470952,311,220,2026-06-09,1.0,CASE,RT05_OVERSUPPLY,634.31,AUTO,,SCRAP,APPROVED
133,CN0000133,2579,15988,615,186,2025-01-18,-16.0,EACH,RT01_NEAR_EXPIRY,9.3,RSM,,VENDOR_RECOVERY,PENDING
134,CN0000134,51915,317341,441,313,2025-12-30,1.0,CASE,RT02_DAMAGE_TRANSIT,59.43,ASM,,VENDOR_RECOVERY,REJECTED
135,CN0000135,27463,168323,56,255,2025-07-04,10.0,EACH,RT03_WRONG_SKU,86.8,RSM,,RESTOCK,REJECTED
136,CN0000136,30771,188323,254,179,2025-08-11,2.0,CASE,RT03_WRONG_SKU,356.82,RSM,,SCRAP,PENDING
137,CN0000137,74063,452684,493,335,2026-05-07,6.0,CASE,RT03_WRONG_SKU,471.25,ASM,,RESTOCK,APPROVED
138,CN0000138,73046,446624,717,188,2026-05-22,1.0,CASE,RT02_DAMAGE_TRANSIT,147.28,AUTO,,VENDOR_RECOVERY,APPROVED
139,CN0000139,35748,218488,484,272,2025-09-11,9.0,CASE,RT03_WRONG_SKU,245.98,AUTO,,SCRAP,PENDING
140,CN0000140,20246,124242,47,135,2025-05-30,4.0,CASE,RT02_DAMAGE_TRANSIT,980.61,ASM,,VENDOR_RECOVERY,APPROVED
141,CN0000141,80897,494625,259,137,2026-06-24,-10.0,EACH,RT03_WRONG_SKU,20.76,AUTO,,RESTOCK,REJECTED
142,CN0000142,33214,203321,575,106,2025-08-29,72.0,EACH,RT05_OVERSUPPLY,56.5,ASM,,SCRAP,REJECTED
143,CN0000143,62215,380406,150,102,2026-02-13,4.0,EACH,RT03_WRONG_SKU,41.53,RSM,,RESTOCK,REJECTED
144,CN0000144,21241,130352,81,172,2025-05-28,5.0,CASE,RT02_DAMAGE_TRANSIT,488.81,ASM,,RESTOCK,APPROVED
145,CN0000145,58546,358014,191,54,2026-02-04,1.0,CASE,RT04_QUALITY,435.76,ASM,,SCRAP,APPROVED
146,CN0000146,82994,507298,203,165,2026-07-14,52.0,EACH,RT04_QUALITY,22.15,ASM,,SCRAP,REJECTED
147,CN0000147,59193,361848,5,24,2026-02-09,20.0,EACH,RT05_OVERSUPPLY,24.08,AUTO,,SCRAP,APPROVED
148,CN0000148,8839,54436,517,41,2025-03-21,7.0,EACH,RT02_DAMAGE_TRANSIT,6.61,ASM,,SCRAP,REJECTED
149,CN0000149,68309,417722,511,217,2026-04-15,3.0,CASE,RT03_WRONG_SKU,642.21,RSM,,SCRAP,PENDING
150,CN0000150,12563,77288,674,126,2025-04-14,2.0,CASE,RT04_QUALITY,117.99,AUTO,,SCRAP,PENDING
151,CN0000151,81431,497850,64,105,2026-06-30,8.0,EACH,RT03_WRONG_SKU,20.91,ASM,,SCRAP,REJECTED
152,CN0000152,1876,11473,439,287,2025-01-18,12.0,EACH,RT05_OVERSUPPLY,119.74,AUTO,,SCRAP,PENDING
153,CN0000153,82343,503469,711,220,2026-07-21,1.0,EACH,RT02_DAMAGE_TRANSIT,43.81,AUTO,,SCRAP,REJECTED
154,CN0000154,62077,379496,571,243,2026-03-08,1.0,CASE,RT04_QUALITY,1428.48,RSM,,SCRAP,APPROVED
155,CN0000155,62524,382330,400,44,2026-02-23,9.0,EACH,RT01_NEAR_EXPIRY,18.24,RSM,,RESTOCK,APPROVED
156,CN0000156,5523,33777,124,43,2025-02-16,1.0,CASE,RT03_WRONG_SKU,586.55,RSM,,SCRAP,REJECTED
157,CN0000157,21618,132594,140,17,2025-06-21,1.0,CASE,RT03_WRONG_SKU,218.35,AUTO,,SCRAP,APPROVED
158,CN0000158,78597,480427,132,316,2026-06-05,1.0,CASE,RT02_DAMAGE_TRANSIT,629.6,AUTO,,VENDOR_RECOVERY,PENDING
159,CN0000159,78525,480005,424,164,2026-06-02,22.0,EACH,RT02_DAMAGE_TRANSIT,113.13,AUTO,,RESTOCK,APPROVED
160,CN0000160,28476,174462,616,90,2025-07-20,1.0,CASE,RT04_QUALITY,3932.0,ASM,,SCRAP,APPROVED
161,CN0000161,29154,178508,540,87,2025-07-12,4.0,CASE,RT02_DAMAGE_TRANSIT,432.64,AUTO,,RESTOCK,REJECTED
162,CN0000162,62624,382963,262,178,2026-03-10,1.0,CASE,RT01_NEAR_EXPIRY,327.18,AUTO,,SCRAP,APPROVED
163,CN0000163,19625,120393,278,249,2025-06-08,1.0,CASE,RT02_DAMAGE_TRANSIT,795.7,AUTO,,SCRAP,APPROVED
164,CN0000164,38791,237047,265,270,2025-09-21,5.0,EACH,RT05_OVERSUPPLY,15.12,ASM,,SCRAP,APPROVED
165,CN0000165,69551,425285,327,225,2026-04-14,3.0,CASE,RT02_DAMAGE_TRANSIT,34.38,AUTO,,RESTOCK,APPROVED
166,CN0000166,37582,229498,495,269,2025-09-29,5.0,CASE,RT01_NEAR_EXPIRY,2489.49,AUTO,,VENDOR_RECOVERY,APPROVED
167,CN0000167,35063,214401,520,188,2025-08-19,1.0,CASE,RT02_DAMAGE_TRANSIT,139.49,AUTO,,RESTOCK,APPROVED
168,CN0000168,58149,355626,536,177,2026-02-09,7.0,CASE,RT05_OVERSUPPLY,575.12,ASM,,RESTOCK,APPROVED
169,CN0000169,42459,259647,554,82,2025-11-04,1.0,CASE,RT03_WRONG_SKU,487.41,RSM,,VENDOR_RECOVERY,REJECTED
170,CN0000170,49706,303914,208,116,2025-12-04,1.0,CASE,RT05_OVERSUPPLY,421.77,AUTO,,VENDOR_RECOVERY,PENDING
171,CN0000171,39817,243358,680,52,2025-10-10,1.0,CASE,RT02_DAMAGE_TRANSIT,601.28,AUTO,,SCRAP,REJECTED
172,CN0000172,78323,478685,539,95,2026-06-13,4.0,CASE,RT01_NEAR_EXPIRY,263.57,ASM,,SCRAP,APPROVED
173,CN0000173,75122,459034,413,102,2026-05-21,1.0,CASE,RT04_QUALITY,1180.84,ASM,,RESTOCK,APPROVED
174,CN0000174,71598,437928,54,103,2026-04-23,7.0,CASE,RT05_OVERSUPPLY,206.27,RSM,,SCRAP,PENDING
175,CN0000175,8982,55381,292,296,2025-03-08,1.0,CASE,RT05_OVERSUPPLY,925.46,RSM,,RESTOCK,APPROVED
176,CN0000176,44742,273752,306,225,2025-10-25,1.0,CASE,RT03_WRONG_SKU,55.44,ASM,,RESTOCK,PENDING
177,CN0000177,24003,147218,444,52,2025-07-05,6.0,CASE,RT05_OVERSUPPLY,302.69,RSM,,RESTOCK,APPROVED
178,CN0000178,12076,74302,684,174,2025-03-28,3.0,CASE,RT05_OVERSUPPLY,151.91,RSM,,RESTOCK,APPROVED
179,CN0000179,34941,213667,512,161,2025-09-08,2.0,CASE,RT01_NEAR_EXPIRY,214.84,AUTO,,VENDOR_RECOVERY,APPROVED
180,CN0000180,4857,29731,476,252,2025-02-26,1.0,CASE,RT03_WRONG_SKU,574.23,RSM,,RESTOCK,REJECTED
181,CN0000181,68076,416303,236,199,2026-03-31,1.0,CASE,RT01_NEAR_EXPIRY,1828.71,AUTO,,VENDOR_RECOVERY,REJECTED
182,CN0000182,38110,232750,534,283,2025-10-04,5.0,CASE,RT02_DAMAGE_TRANSIT,657.39,ASM,,SCRAP,APPROVED
183,CN0000183,30922,189233,563,162,2025-08-18,7.0,CASE,RT03_WRONG_SKU,1452.75,AUTO,,SCRAP,APPROVED
184,CN0000184,40192,245609,659,60,2025-10-02,4.0,CASE,RT01_NEAR_EXPIRY,350.63,ASM,,SCRAP,REJECTED
185,CN0000185,5801,35520,521,195,2025-02-12,21.0,EACH,RT01_NEAR_EXPIRY,30.18,RSM,,SCRAP,APPROVED
186,CN0000186,56521,345556,201,213,2026-01-13,3.0,CASE,RT04_QUALITY,156.39,RSM,,SCRAP,PENDING
187,CN0000187,3530,21847,234,10,2025-02-11,2.0,CASE,RT02_DAMAGE_TRANSIT,105.39,AUTO,,VENDOR_RECOVERY,REJECTED
188,CN0000188,71564,437723,70,241,2026-04-23,1.0,CASE,RT05_OVERSUPPLY,168.04,ASM,,SCRAP,REJECTED
189,CN0000189,67006,409754,711,12,2026-04-02,2.0,CASE,RT01_NEAR_EXPIRY,769.16,ASM,,RESTOCK,APPROVED
190,CN0000190,42274,258463,161,300,2025-10-22,1.0,CASE,RT01_NEAR_EXPIRY,844.32,RSM,,SCRAP,REJECTED
191,CN0000191,16301,100115,621,276,2025-04-27,5.0,CASE,RT02_DAMAGE_TRANSIT,2223.59,RSM,,VENDOR_RECOVERY,APPROVED
192,CN0000192,45500,278230,358,6,2025-10-26,1.0,CASE,RT06_COLD_CHAIN_BREACH,295.59,RSM,,SCRAP,PENDING
193,CN0000193,62048,379340,64,6,2026-03-04,1.0,EACH,RT01_NEAR_EXPIRY,130.56,ASM,,SCRAP,REJECTED
194,CN0000194,64499,394475,339,131,2026-03-27,2.0,CASE,RT01_NEAR_EXPIRY,80.78,AUTO,,SCRAP,PENDING
195,CN0000195,23827,146112,385,327,2025-06-28,1.0,CASE,RT02_DAMAGE_TRANSIT,913.78,RSM,,SCRAP,PENDING
