product_id,sku_code,product_name,brand,category,subcategory,pack_size_value,pack_size_uom,case_pack,mrp_inr,list_price_inr,gst_rate_pct,hsn_code,shelf_life_days,storage_temp_band,is_chilled,abc_class,min_order_qty_cases,unit_weight_grams,barcode_ean13,launch_date,discontinued_date,supplier_name,status,created_at,updated_at
11,SKU00011,Bluepeak Curd 150g,Bluepeak,Dairy,Curd,150.0,G,30,320.0,227.37,5.0,425569,12,CHILLED,1,B,1,166.9,8900014112602,2024-02-16,,Kestrel Foods Ltd,ACTIVE,,
12,SKU00012,Marwar Curd 1000ml,Marwar,Dairy,Curd,1000.0,ML,10,356.0,266.3,0.0,843849,7,CHILLED,1,B,2,1021.2,8900337823505,2022-08-23,,Bluepeak Beverages,ACTIVE,,
13,SKU00013,Hillfare Curd 1000ml,Hillfare,Dairy,Curd,1000.0,ML,10,153.0,104.91,5.0,487119,15,CHILLED,1,C,2,1026.6,8904828696871,2020-05-26,,Hillfare Dairy Co-op,ACTIVE,,
14,SKU00014,Kestrel Select Curd 200kg,Kestrel,Dairy,Curd,200.0,KG,8,179.0,127.91,5.0,942087,8,CHILLED,1,A,5,219.2,8901034363636,2023-05-28,,Marwar Agro,ACTIVE,,
15,SKU00015,Marwar Curd 150ml,Marwar,Dairy,Curd,150.0,ML,30,445.0,320.45,18.0,885228,7,CHILLED,1,A,5,157.0,8908541071148,2020-10-31,,Hillfare Dairy Co-op,ACTIVE,,
16,SKU00016,Coastline Curd 1000ml,Coastline,Dairy,Curd,1000.0,ML,10,407.0,335.5,18.0,369742,17,CHILLED,1,B,5,1121.0,8905595598462,2020-07-08,,Hillfare Dairy Co-op,ACTIVE,,
17,SKU00017,Kestrel Select Curd 750kg,Kestrel,Dairy,Curd,750.0,KG,10,133.0,91.68,5.0,720179,19,CHILLED,1,A,5,714.6,8905437124171,2024-02-07,,Hillfare Dairy Co-op,ACTIVE,,
18,SKU00018,Coastline Curd 400g,Coastline,Dairy,Curd,400.0,G,30,457.0,326.38,18.0,840734,11,CHILLED,1,A,5,457.8,8904719740543,2024-10-15,,Kestrel Foods Ltd,ACTIVE,,
19,SKU00019,Amrit Valley Paneer 200g,Amrit,Dairy,Paneer,200.0,G,30,139.0,98.32,0.0,151522,20,CHILLED,1,A,5,200.3,8909749150326,2023-01-19,,Kestrel Foods Ltd,ACTIVE,,
20,SKU00020,Hillfare Paneer 750ml,Hillfare,Dairy,Paneer,750.0,ML,30,39.0,31.79,18.0,887105,17,CHILLED,1,A,5,775.6,8905277556532,2024-02-11,,Bluepeak Beverages,ACTIVE,,
21,SKU00021,Kestrel Paneer 400g,Kestrel,Dairy,Paneer,400.0,G,24,347.0,269.09,12.0,646656,18,CHILLED,1,A,1,401.8,8909295489241,2020-09-10,,Kestrel Foods Ltd,ACTIVE,,
22,SKU00022,Coastline Paneer 1000g,Coastline,Dairy,Paneer,1000.0,G,10,35.0,27.04,18.0,359573,14,CHILLED,1,B,5,969.8,8909761260619,2023-09-08,,Bluepeak Beverages,ACTIVE,,
23,SKU00023,Amrit Valley Paneer 200g,Amrit,Dairy,Paneer,200.0,G,6,100.0,72.11,12.0,607075,12,CHILLED,1,A,1,224.8,8904877465037,2022-07-29,,Hillfare Dairy Co-op,ACTIVE,,
24,SKU00024,Marwar Paneer 750g,Marwar,Dairy,Paneer,750.0,G,10,177.0,126.11,18.0,348039,7,CHILLED,1,A,2,720.9,8905907185295,2024-03-03,,Marwar Agro,ACTIVE,,
25,SKU00025,Coastline Paneer 100g,Coastline,Dairy,Paneer,100.0,G,6,95.0,69.09,5.0,490585,20,CHILLED,1,C,1,102.2,8903608732030,2022-06-21,,Kestrel Foods Ltd,ACTIVE,,
26,SKU00026,Bluepeak Paneer 400ml,Bluepeak,Dairy,Paneer,400.0,ML,6,401.0,281.76,5.0,768087,7,CHILLED,1,B,1,389.4,8902567267938,2021-02-19,,Bluepeak Beverages,ACTIVE,,
27,SKU00027,Kestrel Select Butter 500kg,Kestrel,Dairy,Butter,500.0,KG,8,211.0,174.82,18.0,680267,8,CHILLED,1,B,1,545.8,8909755002510,2023-07-14,,Kestrel Foods Ltd,ACTIVE,,
28,SKU00028,Marwar Butter 250ml,Marwar,Dairy,Butter,250.0,ML,6,191.0,142.05,18.0,147700,16,CHILLED,1,B,5,282.5,8905394292746,2020-07-22,,Hillfare Dairy Co-op,ACTIVE,,
29,SKU00029,Bluepeak Butter 200g,Bluepeak,Dairy,Butter,200.0,G,30,98.0,74.07,12.0,516861,15,CHILLED,1,C,1,219.5,8909293302559,2020-05-07,,Hillfare Dairy Co-op,ACTIVE,,
30,SKU00030,Kestrel Butter 1000ml,Kestrel,Dairy,Butter,1000.0,ML,6,432.0,331.79,18.0,406830,18,CHILLED,1,A,1,1077.4,8908768423686,2022-08-31,,Kestrel Foods Ltd,ACTIVE,,
31,SKU00031,Coastline Butter 150kg,Coastline,Dairy,Butter,150.0,KG,12,418.0,317.22,0.0,356024,11,CHILLED,1,C,1,154.4,8906733834303,2022-01-15,,Hillfare Dairy Co-op,ACTIVE,,
32,SKU00032,Hillfare Butter 750g,Hillfare,Dairy,Butter,750.0,G,24,96.0,67.38,18.0,321670,15,CHILLED,1,B,5,825.8,8909098621959,2020-06-26,,Bluepeak Beverages,ACTIVE,,
33,SKU00033,Coastline Butter 750kg,Coastline,Dairy,Butter,750.0,KG,24,442.0,337.32,0.0,298688,15,CHILLED,1,B,1,806.5,8906710401380,2020-10-26,,Bluepeak Beverages,ACTIVE,,
34,SKU00034,Coastline Butter 200ml,Coastline,Dairy,Butter,200.0,ML,10,314.0,253.97,5.0,289286,10,CHILLED,1,A,5,210.7,8907223905791,2021-09-16,,Kestrel Foods Ltd,ACTIVE,,
35,SKU00035,Kestrel Select Butter 250ml,Kestrel,Dairy,Butter,250.0,ML,6,297.0,220.23,12.0,373495,10,CHILLED,1,C,1,276.2,8900842729018,2020-03-25,,Hillfare Dairy Co-op,ACTIVE,,
36,SKU00036,Bluepeak Cheese 100ml,Bluepeak,Dairy,Cheese,100.0,ML,12,223.0,161.0,12.0,851647,9,CHILLED,1,C,1,105.9,8904853940605,2023-11-19,,Bluepeak Beverages,ACTIVE,,
37,SKU00037,Bluepeak Cheese 400ml,Bluepeak,Dairy,Cheese,400.0,ML,30,125.0,99.33,5.0,596197,9,CHILLED,1,B,1,386.7,8907571991340,2022-03-11,,Marwar Agro,ACTIVE,,
38,SKU00038,Hillfare Cheese 1000kg,Hillfare,Dairy,Cheese,1000.0,KG,8,346.0,265.85,18.0,228471,18,CHILLED,1,A,1,1079.6,8906728038557,2021-06-08,,Bluepeak Beverages,ACTIVE,,
39,SKU00039,Kestrel Select Cheese 200g,Kestrel,Dairy,Cheese,200.0,G,30,163.0,122.87,18.0,653294,14,CHILLED,1,B,1,205.0,8903288570075,2021-08-19,,Hillfare Dairy Co-op,ACTIVE,,
40,SKU00040,Amrit Valley Cheese 100g,Amrit,Dairy,Cheese,100.0,G,10,368.0,274.21,5.0,629377,15,CHILLED,1,B,5,114.2,8905818074987,2020-08-12,,Marwar Agro,ACTIVE,,
41,SKU00041,Kestrel Select Cheese 400kg,Kestrel,Dairy,Cheese,400.0,KG,24,91.0,62.1,12.0,418158,11,CHILLED,1,B,1,402.6,8909088805131,2021-01-25,,Bluepeak Beverages,ACTIVE,,
42,SKU00042,Hillfare Cheese 400kg,Hillfare,Dairy,Cheese,400.0,KG,6,269.0,201.48,5.0,376044,9,CHILLED,1,B,5,454.8,8909307779730,2022-05-17,,Kestrel Foods Ltd,ACTIVE,,
43,SKU00043,Marwar Cheese 250g,Marwar,Dairy,Cheese,250.0,G,6,320.0,233.98,5.0,110526,10,CHILLED,1,B,1,284.8,8904864531673,2024-09-21,,Hillfare Dairy Co-op,ACTIVE,,
44,SKU00044,Amrit Valley Cheese 750g,Amrit,Dairy,Cheese,750.0,G,10,136.0,104.07,5.0,427381,19,CHILLED,1,B,5,775.5,8904657517411,2022-10-08,,Hillfare Dairy Co-op,ACTIVE,,
45,SKU00045,Kestrel Select Cheese 750ml,Kestrel,Dairy,Cheese,750.0,ML,30,103.0,75.65,0.0,203731,16,CHILLED,1,C,1,764.3,8900713416471,2024-06-13,,Marwar Agro,ACTIVE,,
46,SKU00046,Amrit Valley Cheese 400ml,Amrit,Dairy,Cheese,400.0,ML,6,424.0,296.88,12.0,881738,7,CHILLED,1,A,2,427.1,8907530225836,2022-10-16,,Kestrel Foods Ltd,ACTIVE,,
47,SKU00047,Kestrel Cheese 100g,Kestrel,Dairy,Cheese,100.0,G,24,304.0,235.13,0.0,341991,7,CHILLED,1,B,2,109.7,8902879996269,2023-09-09,,Bluepeak Beverages,ACTIVE,,
48,SKU00048,Kestrel Cheese 100kg,Kestrel,Dairy,Cheese,100.0,KG,12,327.0,227.74,12.0,321071,14,CHILLED,1,A,2,107.5,8908658673887,2022-05-13,,Coastline Marine,ACTIVE,,
49,SKU00049,Amrit Valley Bread 500g,Amrit,Bakery,Bread,500.0,G,10,289.0,221.27,5.0,512807,11,AMBIENT,0,B,1,508.5,8907184545939,2020-07-31,,Coastline Marine,ACTIVE,,
50,SKU00050,Kestrel Bread 250g,Kestrel,Bakery,Bread,250.0,G,10,386.0,272.47,12.0,314231,11,AMBIENT,0,C,5,241.9,8908158003789,2022-07-09,,Marwar Agro,ACTIVE,,
51,SKU00051,Hillfare Bread 500ml,Hillfare,Bakery,Bread,500.0,ML,12,305.0,227.67,5.0,753512,4,AMBIENT,0,B,1,494.3,8906323449657,2024-11-22,,Kestrel Foods Ltd,ACTIVE,,
52,SKU00052,Bluepeak Bread 500g,Bluepeak,Bakery,Bread,500.0,G,6,288.0,237.85,0.0,324721,8,AMBIENT,0,B,2,570.9,8908042219968,2022-10-15,,Hillfare Dairy Co-op,ACTIVE,,
53,SKU00053,Kestrel Bread 750g,Kestrel,Bakery,Bread,750.0,G,8,464.0,333.59,18.0,451132,5,AMBIENT,0,A,1,778.8,8907502965770,2021-06-03,,Marwar Agro,ACTIVE,,
54,SKU00054,Bluepeak Bread 150g,Bluepeak,Bakery,Bread,150.0,G,6,214.0,156.49,0.0,569975,5,AMBIENT,0,B,2,163.7,8907512441376,2020-10-09,2025-06-21,Bluepeak Beverages,DISCONTINUED,,
55,SKU00055,Amrit Valley Bread 150ml,Amrit,Bakery,Bread,150.0,ML,6,124.0,92.6,5.0,985613,5,AMBIENT,0,B,1,162.7,8909776140803,2023-11-12,,Kestrel Foods Ltd,ACTIVE,,
56,SKU00056,Bluepeak Bread 400g,Bluepeak,Bakery,Bread,400.0,G,10,194.0,161.84,18.0,556187,9,AMBIENT,0,A,5,446.3,8904449122323,2022-02-18,,Marwar Agro,ACTIVE,,
57,SKU00057,Kestrel Bread 150g,Kestrel,Bakery,Bread,150.0,G,10,343.0,277.87,5.0,770041,9,AMBIENT,0,A,1,142.9,8905511697687,2020-05-04,,Bluepeak Beverages,ACTIVE,,
58,SKU00058,Coastline Bread 500ml,Coastline,Bakery,Bread,500.0,ML,8,204.0,146.56,18.0,394828,11,AMBIENT,0,B,1,477.3,8907978264114,2022-04-10,,Bluepeak Beverages,ACTIVE,,
59,SKU00059,Amrit Valley Bread 750kg,Amrit,Bakery,Bread,750.0,KG,12,385.0,268.37,12.0,530696,7,AMBIENT,0,B,1,739.1,8905341784307,2023-03-12,,Coastline Marine,ACTIVE,,
60,SKU00060,Bluepeak Bread 250ml,Bluepeak,Bakery,Bread,250.0,ML,24,203.0,148.75,18.0,412465,5,AMBIENT,0,A,2,258.8,8900224177051,2022-07-11,,Kestrel Foods Ltd,ACTIVE,,
61,SKU00061,Marwar Buns 250g,Marwar,Bakery,Buns,250.0,G,24,460.0,382.32,18.0,860359,4,AMBIENT,0,B,5,273.2,8908898449249,2021-03-30,,Marwar Agro,ACTIVE,,
62,SKU00062,Marwar Buns 500g,Marwar,Bakery,Buns,500.0,G,10,398.0,286.2,0.0,936035,4,AMBIENT,0,B,5,509.1,8903846519686,2020-05-23,,Hillfare Dairy Co-op,ACTIVE,,
63,SKU00063,Kestrel Buns 750ml,Kestrel,Bakery,Buns,750.0,ML,6,417.0,294.31,5.0,876881,7,AMBIENT,0,C,1,842.1,8906148424293,2024-04-19,,Hillfare Dairy Co-op,ACTIVE,,
64,SKU00064,Bluepeak Buns 500ml,Bluepeak,Bakery,Buns,500.0,ML,10,255.0,176.66,18.0,262131,9,AMBIENT,0,A,1,476.7,8901801305025,2021-09-25,,Bluepeak Beverages,ACTIVE,,
65,SKU00065,Kestrel Buns 500ml,Kestrel,Bakery,Buns,500.0,ML,6,37.0,28.68,12.0,153801,5,AMBIENT,0,C,1,525.6,8906456939538,2020-06-08,,Hillfare Dairy Co-op,ACTIVE,,
66,SKU00066,Kestrel Buns 200ml,Kestrel,Bakery,Buns,200.0,ML,30,276.0,215.68,18.0,681369,9,AMBIENT,0,B,1,224.0,8903106611189,2020-07-15,,Kestrel Foods Ltd,ACTIVE,,
67,SKU00067,Bluepeak Buns 750kg,Bluepeak,Bakery,Buns,750.0,KG,6,37.0,27.93,18.0,673303,3,AMBIENT,0,A,2,849.9,8908702625656,2020-09-28,2025-09-02,Coastline Marine,DISCONTINUED,,
68,SKU00068,Kestrel Select Buns 200g,Kestrel,Bakery,Buns,200.0,G,10,395.0,269.72,0.0,632755,5,AMBIENT,0,A,1,214.0,8904181666839,2021-03-03,,Marwar Agro,ACTIVE,,
69,SKU00069,Bluepeak Buns 1000g,Bluepeak,Bakery,Buns,1000.0,G,10,290.0,219.36,18.0,294059,11,AMBIENT,0,A,5,1067.5,8905124721153,2020-04-26,,Coastline Marine,ACTIVE,,
70,SKU00070,Bluepeak Buns 100kg,Bluepeak,Bakery,Buns,100.0,KG,24,402.0,291.22,18.0,362694,9,AMBIENT,0,C,1,110.8,8908557943714,2023-11-07,,Hillfare Dairy Co-op,ACTIVE,,
71,SKU00071,Kestrel Rusk 750ml,Kestrel,Bakery,Rusk,750.0,ML,12,200.0,139.42,18.0,308468,7,AMBIENT,0,B,5,716.1,8906770190155,2024-08-31,,Hillfare Dairy Co-op,ACTIVE,,
72,SKU00072,Hillfare Rusk 100g,Hillfare,Bakery,Rusk,100.0,G,6,202.0,141.27,12.0,118405,5,AMBIENT,0,B,1,98.5,8908609085781,2023-03-27,,Bluepeak Beverages,ACTIVE,,
73,SKU00073,Bluepeak Rusk 1000g,Bluepeak,Bakery,Rusk,1000.0,G,8,375.0,278.0,5.0,157274,4,AMBIENT,0,B,5,987.5,8908042306231,2022-09-18,,Kestrel Foods Ltd,ACTIVE,,
74,SKU00074,Kestrel Select Rusk 400g,Kestrel,Bakery,Rusk,400.0,G,24,245.0,202.42,0.0,636322,11,AMBIENT,0,A,1,437.5,8906558755912,2022-02-20,,Coastline Marine,ACTIVE,,
75,SKU00075,Hillfare Rusk 250g,Hillfare,Bakery,Rusk,250.0,G,8,157.0,120.94,5.0,898248,6,AMBIENT,0,B,1,250.1,8901687917022,2021-10-25,,Coastline Marine,ACTIVE,,
76,SKU00076,Coastline Rusk 150ml,Coastline,Bakery,Rusk,150.0,ML,12,228.0,178.02,0.0,210326,3,AMBIENT,0,C,2,166.3,8904148563090,2023-07-30,,Hillfare Dairy Co-op,ACTIVE,,
77,SKU00077,Bluepeak Rusk 200g,Bluepeak,Bakery,Rusk,200.0,G,24,400.0,301.38,18.0,123986,10,AMBIENT,0,B,5,196.0,8901000979786,2024-02-13,,Bluepeak Beverages,ACTIVE,,
78,SKU00078,Amrit Valley Rusk 150g,Amrit,Bakery,Rusk,150.0,G,10,423.0,345.66,0.0,311232,7,AMBIENT,0,A,5,158.0,8900973258162,2021-01-15,,Hillfare Dairy Co-op,ACTIVE,,
79,SKU00079,Hillfare Rusk 200ml,Hillfare,Bakery,Rusk,200.0,ML,30,105.0,86.38,0.0,971105,8,AMBIENT,0,C,1,193.1,8905211522082,2024-11-09,,Bluepeak Beverages,ACTIVE,,
80,SKU00080,Kestrel Select Rusk 1000g,Kestrel,Bakery,Rusk,1000.0,G,10,63.0,49.48,18.0,269103,6,AMBIENT,0,A,5,1041.9,8901241501906,2020-06-12,,Bluepeak Beverages,ACTIVE,,
81,SKU00081,Amrit Valley Rusk 150g,Amrit,Bakery,Rusk,150.0,G,8,408.0,288.03,12.0,943232,9,AMBIENT,0,B,1,172.1,8907060010000,2021-12-18,,Marwar Agro,ACTIVE,,
82,SKU00082,Kestrel Cake 200g,Kestrel,Bakery,Cake,200.0,G,8,291.0,224.86,5.0,101752,9,AMBIENT,0,A,5,217.7,8904370956111,2021-02-18,2026-05-07,Hillfare Dairy Co-op,DISCONTINUED,,
83,SKU00083,Coastline Cake 150g,Coastline,Bakery,Cake,150.0,G,6,181.0,137.63,5.0,288742,7,AMBIENT,0,A,1,146.8,8909431254298,2024-11-24,,Kestrel Foods Ltd,ACTIVE,,
84,SKU00084,Bluepeak Cake 750ml,Bluepeak,Bakery,Cake,750.0,ML,6,41.0,27.98,0.0,502946,11,AMBIENT,0,B,2,801.5,8904571555230,2024-03-02,,Marwar Agro,ACTIVE,,
85,SKU00085,Marwar Cake 250ml,Marwar,Bakery,Cake,250.0,ML,10,39.0,28.0,0.0,808688,6,AMBIENT,0,A,2,255.6,8902886677453,2020-11-05,,Kestrel Foods Ltd,ACTIVE,,
86,SKU00086,Kestrel Select Cake 150g,Kestrel,Bakery,Cake,150.0,G,12,365.0,277.92,12.0,725494,6,AMBIENT,0,C,1,157.1,8909495323633,2024-12-01,,Bluepeak Beverages,ACTIVE,,
87,SKU00087,Amrit Valley Cake 200g,Amrit,Bakery,Cake,200.0,G,24,178.0,142.84,12.0,797478,9,AMBIENT,0,A,1,194.6,8901978818621,2023-05-17,,Hillfare Dairy Co-op,ACTIVE,,
88,SKU00088,Coastline Cake 750g,Coastline,Bakery,Cake,750.0,G,30,338.0,236.03,5.0,470856,10,AMBIENT,0,A,2,771.6,8909871449132,2021-04-25,,Hillfare Dairy Co-op,ACTIVE,,
89,SKU00089,Kestrel Select Cake 1000g,Kestrel,Bakery,Cake,1000.0,G,8,231.0,182.09,0.0,819620,9,AMBIENT,0,B,2,983.6,8905073990317,2024-10-13,,Kestrel Foods Ltd,ACTIVE,,
90,SKU00090,Amrit Valley Cake 1000ml,Amrit,Bakery,Cake,1000.0,ML,24,417.0,339.41,5.0,557271,5,AMBIENT,0,B,1,1027.1,8902864555248,2024-02-13,,Hillfare Dairy Co-op,ACTIVE,,
91,SKU00091,Coastline Cake 250ml,Coastline,Bakery,Cake,250.0,ML,24,258.0,200.44,18.0,379515,3,AMBIENT,0,A,1,243.9,8903224479066,2022-02-05,,Bluepeak Beverages,ACTIVE,,
92,SKU00092,Marwar Cake 750g,Marwar,Bakery,Cake,750.0,G,6,457.0,316.35,0.0,635569,3,AMBIENT,0,B,2,720.6,8905268375761,2022-01-31,,Marwar Agro,ACTIVE,,
93,SKU00093,Bluepeak Cake 1000ml,Bluepeak,Bakery,Cake,1000.0,ML,24,476.0,340.62,12.0,622285,4,AMBIENT,0,C,2,1079.8,8902744915717,2022-03-23,,Hillfare Dairy Co-op,ACTIVE,,
94,SKU00094,Hillfare Cake 500ml,Hillfare,Bakery,Cake,500.0,ML,30,253.0,199.35,12.0,117441,7,AMBIENT,0,A,1,534.0,8902671502711,2020-06-02,,Coastline Marine,ACTIVE,,
95,SKU00095,Hillfare Cake 1000g,Hillfare,Bakery,Cake,1000.0,G,8,338.0,256.29,5.0,167516,7,AMBIENT,0,A,1,1033.3,8901454625797,2021-06-19,2025-07-13,Hillfare Dairy Co-op,DISCONTINUED,,
96,SKU00096,Bluepeak Juice 250ml,Bluepeak,Beverages,Juice,250.0,ML,24,414.0,289.34,0.0,247952,261,AMBIENT,0,A,2,243.4,8905965023305,2022-03-09,,Kestrel Foods Ltd,ACTIVE,,
97,SKU00097,Kestrel Juice 1000ml,Kestrel,Beverages,Juice,1000.0,ML,10,324.0,251.83,0.0,645831,225,AMBIENT,0,C,1,1090.0,8901171808338,2021-02-26,,Kestrel Foods Ltd,ACTIVE,,
98,SKU00098,Kestrel Select Juice 200ml,Kestrel,Beverages,Juice,200.0,ML,12,58.0,47.18,18.0,290605,288,AMBIENT,0,A,1,192.9,8908169116942,2023-06-09,,Kestrel Foods Ltd,ACTIVE,,
99,SKU00099,Kestrel Select Juice 400ml,Kestrel,Beverages,Juice,400.0,ML,30,442.0,341.98,5.0,966771,249,AMBIENT,0,B,5,398.5,8907396498290,2023-05-25,,Kestrel Foods Ltd,ACTIVE,,
100,SKU00100,Bluepeak Juice 200ml,Bluepeak,Beverages,Juice,200.0,ML,8,198.0,153.98,5.0,622709,296,AMBIENT,0,B,2,218.2,8901351873509,2022-05-13,,Marwar Agro,ACTIVE,,
101,SKU00101,Amrit Valley Juice 750ml,Amrit,Beverages,Juice,750.0,ML,24,373.0,280.27,18.0,566959,296,AMBIENT,0,A,5,795.7,8901599174972,2024-09-02,,Hillfare Dairy Co-op,ACTIVE,,
102,SKU00102,Kestrel Select Juice 750ml,Kestrel,Beverages,Juice,750.0,ML,10,331.0,264.22,12.0,561030,333,AMBIENT,0,A,5,854.1,8908776202930,2023-11-22,,Coastline Marine,ACTIVE,,
103,SKU00103,Kestrel Juice 200ml,Kestrel,Beverages,Juice,200.0,ML,24,83.0,68.48,0.0,971964,272,AMBIENT,0,B,2,229.0,8900046754803,2020-02-26,,Marwar Agro,ACTIVE,,
104,SKU00104,Kestrel Juice 200ml,Kestrel,Beverages,Juice,200.0,ML,6,46.0,32.34,12.0,485752,236,AMBIENT,0,B,1,206.6,8902916680798,2023-07-08,,Coastline Marine,ACTIVE,,
105,SKU00105,Hillfare Juice 200ml,Hillfare,Beverages,Juice,200.0,ML,8,79.0,64.5,0.0,338272,328,AMBIENT,0,A,1,191.5,8905641616342,2020-04-29,,Bluepeak Beverages,ACTIVE,,
106,SKU00106,Marwar Juice 400ml,Marwar,Beverages,Juice,400.0,ML,24,446.0,373.55,0.0,469992,283,AMBIENT,0,A,1,428.7,8904125587885,2022-04-25,,Coastline Marine,ACTIVE,,
107,SKU00107,Coastline Soft Drink 1000ml,Coastline,Beverages,Soft Drink,1000.0,ML,12,405.0,322.51,0.0,231807,227,AMBIENT,0,A,5,1139.2,8905135177145,2024-11-20,,Bluepeak Beverages,ACTIVE,,
108,SKU00108,Marwar Soft Drink 500ml,Marwar,Beverages,Soft Drink,500.0,ML,12,352.0,270.51,0.0,348935,263,AMBIENT,0,A,5,556.1,8908834604205,2023-03-19,,Kestrel Foods Ltd,ACTIVE,,
109,SKU00109,Kestrel Soft Drink 150ml,Kestrel,Beverages,Soft Drink,150.0,ML,24,275.0,189.26,5.0,444646,270,AMBIENT,0,A,2,143.9,8900193983114,2022-03-31,,Coastline Marine,ACTIVE,,
110,SKU00110,Coastline Soft Drink 100ml,Coastline,Beverages,Soft Drink,100.0,ML,30,125.0,92.39,0.0,886105,190,AMBIENT,0,C,1,97.1,8909630437797,2021-03-31,,Marwar Agro,ACTIVE,,
111,SKU00111,Coastline Soft Drink 1000ml,Coastline,Beverages,Soft Drink,1000.0,ML,6,330.0,232.07,18.0,234836,338,AMBIENT,0,C,2,1068.3,8904164783355,2022-08-31,,Kestrel Foods Ltd,ACTIVE,,
112,SKU00112,Hillfare Soft Drink 250ml,Hillfare,Beverages,Soft Drink,250.0,ML,6,131.0,98.76,5.0,279245,292,AMBIENT,0,B,1,277.2,8907895969584,2021-02-08,,Hillfare Dairy Co-op,ACTIVE,,
113,SKU00113,Marwar Soft Drink 100ml,Marwar,Beverages,Soft Drink,100.0,ML,24,37.0,26.48,12.0,538596,190,AMBIENT,0,B,2,104.9,8907735945568,2020-07-20,2026-03-03,Bluepeak Beverages,DISCONTINUED,,
114,SKU00114,Marwar Soft Drink 150ml,Marwar,Beverages,Soft Drink,150.0,ML,12,219.0,156.89,5.0,266946,186,AMBIENT,0,C,1,151.1,8900933997133,2024-05-17,,Bluepeak Beverages,ACTIVE,,
115,SKU00115,Amrit Valley Soft Drink 500ml,Amrit,Beverages,Soft Drink,500.0,ML,12,438.0,342.11,18.0,969131,196,AMBIENT,0,B,2,522.7,8901200992066,2020-09-20,,Coastline Marine,ACTIVE,,
116,SKU00116,Kestrel Select Soft Drink 150ml,Kestrel,Beverages,Soft Drink,150.0,ML,30,125.0,92.52,0.0,770907,205,AMBIENT,0,A,1,156.1,8907809532640,2021-05-13,,Marwar Agro,ACTIVE,,
117,SKU00117,Amrit Valley Soft Drink 750ml,Amrit,Beverages,Soft Drink,750.0,ML,24,150.0,104.96,12.0,421492,352,AMBIENT,0,B,1,861.1,8900489592338,2021-04-10,2025-11-20,Coastline Marine,DISCONTINUED,,
118,SKU00118,Marwar Energy Drink 400ml,Marwar,Beverages,Energy Drink,400.0,ML,30,417.0,345.14,12.0,118107,247,AMBIENT,0,A,5,443.3,8908029692948,2022-07-04,,Bluepeak Beverages,ACTIVE,,
119,SKU00119,Kestrel Select Energy Drink 150ml,Kestrel,Beverages,Energy Drink,150.0,ML,8,267.0,217.73,0.0,246275,286,AMBIENT,0,B,2,166.3,8907924439991,2022-01-13,,Kestrel Foods Ltd,ACTIVE,,
